file,result_lasso,error1,rf_lasso,out_lasso,result_general,error2,rf_general,out_general,cost_time_lasso,cost_time_general,aeval_split,path
nterm_ever_13.c,TIMEOUT,Analysis timed out after 180 seconds,,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/nterm_ever_13.c_lasso_out,,,,,190.15,0.0,c_bench_nonterm,../EvolveTerm/data/aeval/c_bench_nonterm/nterm_ever_13.c
nonlin_mult_nonterm_6.c,NO,,,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/nonlin_mult_nonterm_6.c_lasso_out,,,,,1.43,0.0,c_bench_nonterm,../EvolveTerm/data/aeval/c_bench_nonterm/nonlin_mult_nonterm_6.c
NO_13_false-termination_true-no-overflow.c,MAYBE,,,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/NO_13_false-termination_true-no-overflow.c_lasso_out,,,,,169.93,0.0,c_bench_nonterm,../EvolveTerm/data/aeval/c_bench_nonterm/NO_13_false-termination_true-no-overflow.c
nterm_07_cex.c,NO,,,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/nterm_07_cex.c_lasso_out,,,,,1.63,0.0,c_bench_nonterm,../EvolveTerm/data/aeval/c_bench_nonterm/nterm_07_cex.c
nonlin_mult_nonterm_5.c,NO,,,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/nonlin_mult_nonterm_5.c_lasso_out,,,,,1.31,0.0,c_bench_nonterm,../EvolveTerm/data/aeval/c_bench_nonterm/nonlin_mult_nonterm_5.c
determ_nterm_1.c,NO,,,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/determ_nterm_1.c_lasso_out,,,,,1.64,0.0,c_bench_nonterm,../EvolveTerm/data/aeval/c_bench_nonterm/determ_nterm_1.c
UpAndDown_false-termination_true-no-overflow.c,NO,,,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/UpAndDown_false-termination_true-no-overflow.c_lasso_out,,,,,89.7,0.0,c_bench_nonterm,../EvolveTerm/data/aeval/c_bench_nonterm/UpAndDown_false-termination_true-no-overflow.c
3pieces_Caterina_TACAS16_nonterm.c,NO,,,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/3pieces_Caterina_TACAS16_nonterm.c_lasso_out,,,,,1.3,0.0,c_bench_nonterm,../EvolveTerm/data/aeval/c_bench_nonterm/3pieces_Caterina_TACAS16_nonterm.c
Masse-alloca_true-termination-broken.c,MAYBE,,,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Masse-alloca_true-termination-broken.c_lasso_out,,,,,1.41,0.0,c_bench_nonterm,../EvolveTerm/data/aeval/c_bench_nonterm/Masse-alloca_true-termination-broken.c
nterm_06_cex.c,MAYBE,,,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/nterm_06_cex.c_lasso_out,,,,,2.36,0.0,c_bench_nonterm,../EvolveTerm/data/aeval/c_bench_nonterm/nterm_06_cex.c
nterm_ever_01.c,MAYBE,,,Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/nterm_ever_01.c_lasso_out,,,,,1.44,0.0,c_bench_nonterm,../EvolveTerm/data/aeval/c_bench_nonterm/nterm_ever_01.c
