file,svmr_result,cpalasso_result,cpalasso_cost_time,Ultimate0122_result,Ultimate_timecost,loop_condition_variables_count,array_operator,lines,has_break,ET+cpalasso,ET+Ultimate
ChenFlurMukhopadhyay-SAS2012-Ex1.02_false-no-overflow.c,Terminate,Terminate,1.47,Terminate,4.22,2,FALSE,11,FALSE,Terminate,Terminate
ChenFlurMukhopadhyay-SAS2012-Ex2.06_false-no-overflow.c,Failed,Unknown,1.38,Unknown,57.8,2,FALSE,13,FALSE,Other,Other
ChenFlurMukhopadhyay-SAS2012-Ex2.13_true-termination.c,Terminate,Terminate,1.51,Terminate,3.78,2,FALSE,12,FALSE,Terminate,Terminate
ChenFlurMukhopadhyay-SAS2012-Ex4.01_false-no-overflow-simpl.c,Unknown,Unknown,2.19,Terminate,3.77,3,FALSE,13,FALSE,Other,Terminate
ChenFlurMukhopadhyay-SAS2012-Ex4.01_false-no-overflow-version1.c,Failed,Terminate,1.6,Terminate,3.9,3,FALSE,15,FALSE,Terminate,Terminate
ChenFlurMukhopadhyay-SAS2012-Ex4.01_false-no-overflow-version2.c,Failed,Unknown,1.69,Unknown,6.92,3,FALSE,16,FALSE,Other,Other
ChenFlurMukhopadhyay-SAS2012-Ex4.01_false-no-overflow.c,Failed,Terminate,1.83,Terminate,4.37,3,FALSE,15,FALSE,Terminate,Terminate
CookSeeZuleger-TACAS2013-Fig1_true-termination_true-no-overflow.c,Terminate,Terminate,1.8,Terminate,4.38,2,FALSE,16,FALSE,Terminate,Terminate
CookSeeZuleger-TACAS2013-Fig7a-true-termination_true-no-overflow.c,Terminate,Terminate,2.1,Terminate,4.91,3,FALSE,20,FALSE,Terminate,Terminate
CookSeeZuleger-TACAS2013-Fig7b-true-termination_true-no-overflow.c,Unknown,Terminate,2.24,Terminate,5.19,3,FALSE,21,FALSE,Terminate,Terminate
CookSeeZuleger-TACAS2013-Fig8a-modified_true-termination_true-no-overflow.c,Terminate,Terminate,1.57,Terminate,5.25,2,FALSE,15,FALSE,Terminate,Terminate
Copenhagen_disj_true-termination_true-valid-memsafety.c,Failed,Unknown,288.59,Unknown,7.87,2,FALSE,17,FALSE,Other,Other
Copenhagen_disj_true_version.c,Failed,Terminate,135.76,Unknown,26.46,3,FALSE,17,FALSE,Terminate,Other
Copenhagen_true-no-overflow_true-termination_true-valid-memsafety.c,Unknown,Terminate,1.47,Terminate,3.85,2,FALSE,14,FALSE,Terminate,Terminate
Et1_false-no-overflow_true-termination.c,Unknown,Terminate,1.82,Terminate,4.07,2,FALSE,15,FALSE,Terminate,Terminate
Gothenburg_false-no-overflow.c,Failed,Terminate,1.73,Terminate,5.37,2,FALSE,17,FALSE,Terminate,Terminate
Gothenburg_v2_false-no-overflow.c,Unknown,Terminate,1.63,Unknown,8.53,2,FALSE,17,FALSE,Terminate,Other
Gothenburg_v3_false-no-overflow.c,Failed,Unknown,1.82,Unknown,40.6,2,FALSE,20,FALSE,Other,Other
Gothenburg_v4_false-no-overflow.c,Failed,Unknown,2.89,Unknown,48.89,2,FALSE,21,FALSE,Other,Other
GulavaniGulwani-CAV2008-Fig1a_true-termination.c,Unknown,Terminate,1.82,Terminate,4.23,2,FALSE,16,FALSE,Terminate,Terminate
GulwaniJainKoskinen-PLDI2009-Fig1_true-termination-version1.c,Unknown,FAILED,306.18,TIMEOUT,300.05,2,FALSE,20,FALSE,Other,Other
