pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result
629713555,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-speedpldi3_true-termination.c,17271065,UltimateAutomizer2023,47463,default,790100,complete,27.695584,10.903528204886245,0.0,YES
629713602,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-speedpldi4_true-termination.c,17271113,AProVE23,45560,c,749009,complete,18.716996,5.79387169983238,0.0,YES
629713603,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-speedpldi4_true-termination.c,17271113,UltimateAutomizer2023,47463,default,790100,complete,25.309253,10.747865747194735,0.0,YES
629713330,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-terminate_true-termination.c,17270847,AProVE23,45560,c,749009,complete,13.15924,4.3459419519640505,0.0,YES
629713331,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-terminate_true-termination.c,17270847,UltimateAutomizer2023,47463,default,790100,complete,26.225516,13.660779556958005,0.0,YES
629713212,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-wcet2_true-termination.c,17270729,AProVE23,45560,c,749009,complete,23.202198,6.93904194701463,0.0,YES
629713213,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-wcet2_true-termination.c,17270729,UltimateAutomizer2023,47463,default,790100,complete,26.490286,11.881683092098683,0.0,YES
629713320,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-while2_true-termination.c,17270837,AProVE23,45560,c,749009,complete,16.928725,5.250288252020255,0.0,YES
629713321,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-while2_true-termination.c,17270837,UltimateAutomizer2023,47463,default,790100,complete,23.058508,10.296021113870664,0.0,YES
629713434,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-wise_true-termination.c,17270945,AProVE23,45560,c,749009,complete,41.444725,24.43223908706568,0.0,YES
629713435,C/Stroeder_15/AliasDarteFeautrierGonnord-SAS2010-wise_true-termination.c,17270945,UltimateAutomizer2023,47463,default,790100,complete,24.933691,17.45571679295972,0.0,YES
629713314,C/Stroeder_15/AlternDiv.c,17270831,AProVE23,45560,c,749009,complete,9.668814,3.795309639070183,0.0,NO
629713315,C/Stroeder_15/AlternDiv.c,17270831,UltimateAutomizer2023,47463,default,790100,complete,26.048136,10.814807280199602,0.0,NO
629713578,C/Stroeder_15/AlternDivWide.c,17271088,AProVE23,45560,c,749009,complete,10.51848,3.645008119987324,0.0,NO
629713579,C/Stroeder_15/AlternDivWide.c,17271088,UltimateAutomizer2023,47463,default,790100,complete,25.576437,10.895492271054536,0.0,NO
629713310,C/Stroeder_15/AlternDivWidening.c,17270825,AProVE23,45560,c,749009,complete,30.552933,9.081134451087564,0.0,NO
629713311,C/Stroeder_15/AlternDivWidening.c,17270825,UltimateAutomizer2023,47463,default,790100,complete,25.916228,11.159746632911263,0.0,NO
629713182,C/Stroeder_15/AlternKonv.c,17270700,AProVE23,45560,c,749009,complete,14.076941,4.968089614063501,0.0,NO
629713183,C/Stroeder_15/AlternKonv.c,17270700,UltimateAutomizer2023,47463,default,790100,complete,27.300168,16.09044326096773,0.0,NO
629713252,C/Stroeder_15/Avery-FLOPS2006-Table1_true-termination.c,17270769,AProVE23,45560,c,749009,complete,16.718656,5.5217173849232495,0.0,YES
629713253,C/Stroeder_15/Avery-FLOPS2006-Table1_true-termination.c,17270769,UltimateAutomizer2023,47463,default,790100,complete,22.754641,9.94159190915525,0.0,YES
629713530,C/Stroeder_15/Bangalore_true-termination.c,17271041,AProVE23,45560,c,749009,complete,10.837644,3.479597412981093,0.0,YES
629713531,C/Stroeder_15/Bangalore_true-termination.c,17271041,UltimateAutomizer2023,47463,default,790100,complete,20.975053,9.096432534977794,0.0,YES
629713102,C/Stroeder_15/Ben-Amram-LMCS2010-Ex2.3_true-termination.c,17270617,AProVE23,45560,c,749009,complete,17.882371,5.744779644999653,0.0,YES
629713103,C/Stroeder_15/Ben-Amram-LMCS2010-Ex2.3_true-termination.c,17270617,UltimateAutomizer2023,47463,default,790100,complete,26.2749,10.9783407850191,0.0,YES
629713368,C/Stroeder_15/Benghazi_true-termination.c,17270885,AProVE23,45560,c,749009,complete,17.142244,5.592893081018701,0.0,YES
629713369,C/Stroeder_15/Benghazi_true-termination.c,17270885,UltimateAutomizer2023,47463,default,790100,complete,29.522947,15.079377098940313,0.0,YES
629713364,C/Stroeder_15/BradleyMannaSipma-CAV2005-Fig1-modified_false-termination.c,17270881,AProVE23,45560,c,749009,complete,35.671086,10.395166350062937,0.0,NO
629713365,C/Stroeder_15/BradleyMannaSipma-CAV2005-Fig1-modified_false-termination.c,17270881,UltimateAutomizer2023,47463,default,790100,complete,19.873624,10.230842848075554,0.0,NO
629713542,C/Stroeder_15/BradleyMannaSipma-CAV2005-Fig1_true-termination.c,17271052,AProVE23,45560,c,749009,complete,63.644415,17.3010235929396,0.0,YES
629713543,C/Stroeder_15/BradleyMannaSipma-CAV2005-Fig1_true-termination.c,17271052,UltimateAutomizer2023,47463,default,790100,complete,28.752602,12.2108646070119,0.0,YES
629713218,C/Stroeder_15/BradleyMannaSipma-ICALP2005-Fig1_true-termination.c,17270735,AProVE23,45560,c,749009,complete,60.281265,24.75296492199413,0.0,YES
629713219,C/Stroeder_15/BradleyMannaSipma-ICALP2005-Fig1_true-termination.c,17270735,UltimateAutomizer2023,47463,default,790100,complete,42.238536,25.60545354685746,0.0,YES
629713610,C/Stroeder_15/BrockschmidtCookFuhs-CAV2013-Fig1_true-termination.c,17271121,AProVE23,45560,c,749009,complete,26.041627,7.882609714055434,0.0,YES
629713611,C/Stroeder_15/BrockschmidtCookFuhs-CAV2013-Fig1_true-termination.c,17271121,UltimateAutomizer2023,47463,default,790100,complete,25.431134,11.845577449072152,0.0,YES
629713470,C/Stroeder_15/BrockschmidtCookFuhs-CAV2013-Fig9a_true-termination.c,17270980,AProVE23,45560,c,749009,complete,46.415665,15.596905669895932,0.0,YES
629713471,C/Stroeder_15/BrockschmidtCookFuhs-CAV2013-Fig9a_true-termination.c,17270980,UltimateAutomizer2023,47463,default,790100,complete,26.39562,12.325731872115284,0.0,YES
629713278,C/Stroeder_15/BrockschmidtCookFuhs-CAV2013-Introduction_true-termination.c,17270794,AProVE23,45560,c,749009,complete,12.773483,4.1914551220834255,0.0,YES
629713279,C/Stroeder_15/BrockschmidtCookFuhs-CAV2013-Introduction_true-termination.c,17270794,UltimateAutomizer2023,47463,default,790100,complete,22.603896,9.116595627972856,0.0,YES
