file,result_lasso,error1,rf_lasso,out_lasso,result_general,error2,rf_general,out_general,cost_time_lasso,cost_time_general,path
"Type_Conversion_in_Comparison_2_T.c",NO,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Type_Conversion_in_Comparison_2_T.c_lasso_out",NO,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Type_Conversion_in_Comparison_2_T.c_general_out",1.51,1.54,"Datasets/Loopy_dataset_InvarBenchmark/termination/non_termination/loop/Type_Conversion_in_Comparison_2_T.c"
"Type_Conversion_in_Comparison_1_T.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Type_Conversion_in_Comparison_1_T.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Type_Conversion_in_Comparison_1_T.c_general_out",1.76,268.45,"Datasets/Loopy_dataset_InvarBenchmark/termination/non_termination/loop/Type_Conversion_in_Comparison_1_T.c"
"Signed_Overflow_Error_3_T.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Signed_Overflow_Error_3_T.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Signed_Overflow_Error_3_T.c_general_out",2.68,260.16,"Datasets/Loopy_dataset_InvarBenchmark/termination/non_termination/loop/Signed_Overflow_Error_3_T.c"
"Incorrect_Update_for_Loop_Iterator_1_T.c",YES,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Incorrect_Update_for_Loop_Iterator_1_T.c_lasso_out",YES,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Incorrect_Update_for_Loop_Iterator_1_T.c_general_out",1.29,1.42,"Datasets/Loopy_dataset_InvarBenchmark/termination/non_termination/loop/Incorrect_Update_for_Loop_Iterator_1_T.c"
"Unsigned_Wraparound_Error_2_T.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Unsigned_Wraparound_Error_2_T.c_lasso_out",YES,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Unsigned_Wraparound_Error_2_T.c_general_out",1.58,1.66,"Datasets/Loopy_dataset_InvarBenchmark/termination/non_termination/loop/Unsigned_Wraparound_Error_2_T.c"
"Incorrect_Initialization_4_T.c",YES,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Incorrect_Initialization_4_T.c_lasso_out",YES,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Incorrect_Initialization_4_T.c_general_out",3.12,3.44,"Datasets/Loopy_dataset_InvarBenchmark/termination/non_termination/loop/Incorrect_Initialization_4_T.c"
"Incorrect_Update_for_Loop_Iterator_2_T.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Incorrect_Update_for_Loop_Iterator_2_T.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Incorrect_Update_for_Loop_Iterator_2_T.c_general_out",2.33,290.81,"Datasets/Loopy_dataset_InvarBenchmark/termination/non_termination/loop/Incorrect_Update_for_Loop_Iterator_2_T.c"
"Signed_Overflow_Error_2_T.c",NO,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Signed_Overflow_Error_2_T.c_lasso_out",YES,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Signed_Overflow_Error_2_T.c_general_out",1.45,1.53,"Datasets/Loopy_dataset_InvarBenchmark/termination/non_termination/loop/Signed_Overflow_Error_2_T.c"
"Incorrect_Bit_Calculation_1_T.c",NO,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Incorrect_Bit_Calculation_1_T.c_lasso_out",NO,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Incorrect_Bit_Calculation_1_T.c_general_out",1.43,1.52,"Datasets/Loopy_dataset_InvarBenchmark/termination/non_termination/loop/Incorrect_Bit_Calculation_1_T.c"
"Incorrect_Bit_Calculation_3_T.c",NO,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Incorrect_Bit_Calculation_3_T.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Incorrect_Bit_Calculation_3_T.c_general_out",1.42,293.24,"Datasets/Loopy_dataset_InvarBenchmark/termination/non_termination/loop/Incorrect_Bit_Calculation_3_T.c"
"Addition03-1.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Addition03-1.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Addition03-1.c_general_out",1.17,281.02,"Datasets/Loopy_dataset_InvarBenchmark/recursive_functions/sv-benchmarks/recursive/Addition03-1.c"
"Ackermann04.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Ackermann04.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Ackermann04.c_general_out",1.17,2.75,"Datasets/Loopy_dataset_InvarBenchmark/recursive_functions/sv-benchmarks/recursive/Ackermann04.c"
"Addition01-2.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Addition01-2.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/Addition01-2.c_general_out",1.19,281.43,"Datasets/Loopy_dataset_InvarBenchmark/recursive_functions/sv-benchmarks/recursive/Addition01-2.c"
"recHanoi03-2.c",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/recHanoi03-2.c_lasso_out",MAYBE,"","None","Results/CPA_Outputs/Loopy_dataset_InvarBenchmark/recHanoi03-2.c_general_out",1.18,280.88,"Datasets/Loopy_dataset_InvarBenchmark/recursive_functions/sv-benchmarks/recursive/recHanoi03-2.c"
