config,file_name,benchmark_name,generated,extraction_success,invariants_found,template_type,verified
Full (Inv + Extract),Masse-VMCAI2014-Fig1a_true-termination_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,Masse-VMCAI2014-Fig1a_true-termination,True,False,True,lmulti,UNKNOWN
Full (Inv + Extract),Masse-VMCAI2014-Fig1b_true-termination-version-1_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,Masse-VMCAI2014-Fig1b_true-termination-version-1,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),Masse-VMCAI2014-Fig1b_true-termination-version-2_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,Masse-VMCAI2014-Fig1b_true-termination-version-2,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),Masse-VMCAI2014-Fig1b_true-termination_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,Masse-VMCAI2014-Fig1b_true-termination,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),McCarthyIterative_true-termination_true-no-overflow_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,McCarthyIterative_true-termination_true-no-overflow,True,False,True,lmulti,UNKNOWN
Full (Inv + Extract),MenloPark_true-no-overflow_true-termination_true-valid-memsafety-modif_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,MenloPark_true-no-overflow_true-termination_true-valid-memsafety-modif,True,False,True,lnested,NONTERM
Full (Inv + Extract),MenloPark_true-no-overflow_true-termination_true-valid-memsafety_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,MenloPark_true-no-overflow_true-termination_true-valid-memsafety,True,False,True,lnested,NONTERM
Full (Inv + Extract),min_rf-alloca_true-termination_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,min_rf-alloca_true-termination,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),Mysore_false-no-overflow_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,Mysore_false-no-overflow,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),nonlin_div_term_1_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,nonlin_div_term_1,True,False,True,lnested,N/A
Full (Inv + Extract),nonlin_div_term_2_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,nonlin_div_term_2,True,False,True,lnested,NONTERM
Full (Inv + Extract),nonlin_jump_over_1_term_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,nonlin_jump_over_1_term,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),nonlin_mod_term_1_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,nonlin_mod_term_1,True,False,True,lnested,NONTERM
Full (Inv + Extract),nonlin_mod_term_2_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,nonlin_mod_term_2,True,False,True,lnested,NONTERM
Full (Inv + Extract),nonlin_mod_term_3_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,nonlin_mod_term_3,True,False,True,lnested,NONTERM
Full (Inv + Extract),nonlin_mod_term_4_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,nonlin_mod_term_4,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),nonlin_mult_term_1_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,nonlin_mult_term_1,True,False,True,lnested,NONTERM
Full (Inv + Extract),nonlin_mult_term_2_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,nonlin_mult_term_2,True,False,True,lnested,NONTERM
Full (Inv + Extract),nonlin_mult_term_3_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,nonlin_mult_term_3,True,False,True,lnested,NONTERM
Full (Inv + Extract),nonlin_mult_term_4_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,nonlin_mult_term_4,True,False,True,lnested,NONTERM
Full (Inv + Extract),nonlin_mult_term_5_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,nonlin_mult_term_5,True,False,True,lnested,NONTERM
Full (Inv + Extract),nonlin_mult_term_6_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,nonlin_mult_term_6,True,False,True,lnested,UNKNOWN
Full (Inv + Extract),nonlin_mult_term_7_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,nonlin_mult_term_7,True,False,True,lnested,NONTERM
Full (Inv + Extract),nonlin_mult_term_8_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,nonlin_mult_term_8,True,False,True,lnested,NONTERM
Full (Inv + Extract),nonlin_mult_term_9_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,nonlin_mult_term_9,True,False,True,lnested,NONTERM
Full (Inv + Extract),NoriSharma-2013FSE-Fig8-true-termination-modif_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,NoriSharma-2013FSE-Fig8-true-termination-modif,True,False,True,lmulti,NONTERM
Full (Inv + Extract),NoriSharma-2013FSE-Fig8-true-termination_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,NoriSharma-2013FSE-Fig8-true-termination,True,False,True,lmulti,N/A
Full (Inv + Extract),Nyala-2lex_true-no-overflow_true-termination_true-valid-memsafety-version_autoverus_seahorn_v1_inv_template-fewshot_ranking.yml,Nyala-2lex_true-no-overflow_true-termination_true-valid-memsafety-version,True,False,True,lnested,TERMINATE
