file,SVMRresult,svmr_statuses,result_2ls,2ls_time,irank_result,irank_time,cpalasso25_result,cpalasso25_time,cpageneral25_result,cpageneral25_time,cpalasso260122result,cpalasso260122time,cpageneral260122result,cpageneral260122time,AProVEonline24,Ultimate-online,AProVEonline25,MuVal-online,Ultimate260122_result,Ultimate260122_time_taken,ET+CPAlasso25,loop_type,loops_count,loops_depth,loop_condition_variables_count,has_break,loop_condition_always_true,initial_sat_condition,array_operator,pointer_operator,lines,language,program_type,recur_type,SVMR_is_term,CPA_is_term,Combo_is_term
HarrisLalNoriRajamani-SAS2010-Fig3_true-termination.c,failed,Failed,Unknown,0.48,Terminate,1.730995178,Terminate,2.82,Terminate,3.45,Terminate,1.4,Terminate,1.47,Terminate,Terminate,Terminate,Terminate,Terminate,3.74,Terminate,Linear,1,1,1,False,False,True,False,False,30,C,loop,,False,True,True
svcomp_BrockschmidtCookFuhs-2013CAV-Introduction_true-alloca.c,Unknown,Unknown,Failed,0.23,Failed,0.472379923,Unknown,3.07,Unknown,3.21,Unknown,1.48,Nonterminate,1.39,Terminate,Terminate,Terminate,Terminate,Terminate,3.8,Unknown,Linear,1,1,1,False,False,False,False,True,12,C,loop,,False,False,False
Toulouse-MultiBranchesToLoop_true-termination.c,Unknown,Unknown,Unknown,1.72,Unknown,29.25172377,Terminate,5.04,TIMEOUT,300.05,Terminate,2.31,Terminate,2.57,Terminate,Terminate,Terminate,Terminate,Terminate,4.85,Terminate,Linear,1,1,2,False,False,True,False,True,65,C,loop,,False,True,True
ChenFlurMukhopadhyay-SAS2012-Ex2.10_true-termination.c,Unknown,Unknown,Terminate,0.18,Terminate,1.134034634,Unknown,3.92,Unknown,4.71,Unknown,1.75,Unknown,265.73,Terminate,Terminate,Terminate,Terminate,Terminate,3.75,Unknown,Linear,1,1,2,False,False,True,False,True,28,C,loop,,False,False,False
svcomp_a.07.c,failed,Failed,Terminate,0.19,Terminate,2.04521656,Terminate,2.87,Terminate,3.88,Terminate,1.46,Terminate,1.61,Terminate,Terminate,Terminate,Terminate,Terminate,3.85,Terminate,Linear,1,1,2,False,False,True,False,True,16,C,loop,,False,True,True
ColonSipma-TACAS2001-Fig1_true-termination.c,failed,Failed,Terminate,0.34,Terminate,1.931527138,Terminate,3.05,Terminate,3.6,Terminate,1.45,Terminate,1.55,Terminate,Terminate,Terminate,Terminate,Terminate,4.05,Terminate,Linear,1,1,3,False,False,True,False,True,26,C,loop,,False,True,True
KroeningSharyginaTsitovichWintersteiger-CAV2010-Ex_true-termination.c,Unknown,Unknown,Terminate,0.13,Terminate,1.669653416,Terminate,2.88,Terminate,3.45,Terminate,1.36,Terminate,1.52,Terminate,Terminate,Terminate,Terminate,Terminate,3.76,Terminate,Linear,1,1,1,False,False,True,False,False,22,C,loop,,False,True,True
min_rf_true-termination.c,Unknown,Unknown,Unknown,1.69,Terminate,21.68191648,Terminate,3.41,Terminate,4.69,Terminate,1.81,Terminate,1.86,Terminate,Terminate,Terminate,Terminate,Terminate,9.33,Terminate,Linear,1,1,2,False,False,True,False,True,25,C,loop,,False,True,True
UrbanMine-ESOP2014-Fig3_true-termination.c,Unknown,Unknown,Unknown,0.51,Terminate,154.2321348,Terminate,4.26,Terminate,5.34,Terminate,1.99,Terminate,2.09,Terminate,Terminate,Terminate,Terminate,Terminate,6.13,Terminate,Linear,1,1,2,False,False,True,False,True,31,C,loop,,False,True,True
Mysore_true-termination.c,Unknown,Unknown,Unknown,0.67,Terminate,1.878214598,Terminate,2.96,Terminate,3.3,Terminate,1.41,Terminate,1.57,Terminate,Terminate,Terminate,Terminate,Terminate,3.79,Terminate,Linear,1,1,2,False,False,True,False,False,23,C,loop,,False,True,True
