file,SVMRresult,svmr_statuses,result_2ls,2ls_time,irank_result,irank_time,cpalasso25_result,cpalasso25_time,cpageneral25_result,cpageneral25_time,cpalasso260122result,cpalasso260122time,cpageneral260122result,cpageneral260122time,AProVEonline24,Ultimate-online,AProVEonline25,MuVal-online,Ultimate260122_result,Ultimate260122_time_taken,ET+CPAlasso25,loop_type,loops_count,loops_depth,loop_condition_variables_count,has_break,loop_condition_always_true,initial_sat_condition,array_operator,pointer_operator,lines,language,program_type,recur_type,SVMR_is_term,CPA_is_term,Combo_is_term
email_spec0_product05_true-unreach-call.cil.c,failed,"ERROR,UNKNOWN",Failed,0.78,Failed,300.0,Failed,46.7,Failed,31.7,TIMEOUT,310.14,Unknown,153.55,Terminate,timeout,Terminate,Failed,Terminate,7.09,Failed,Nested,4,2,0,False,True,True,False,True,3782,C,loop,,False,False,False
Urban-WST2013-Fig2_true-termination.c,Unknown,Unknown,Terminate,0.2,Terminate,2.092039585,Terminate,3.83,Terminate,4.59,Terminate,1.85,Terminate,2.21,Terminate,Terminate,Terminate,Terminate,Terminate,4.77,Terminate,Nested,2,2,2,False,False,True,False,False,27,C,loop,,False,True,True
ChenFlurMukhopadhyay-SAS2012-Ex3.09_true-termination.c,failed,Failed,Unknown,9.23,Terminate,1.758789063,Unknown,3.05,Unknown,3.73,Unknown,1.47,Nonterminate,1.27,Terminate,Terminate,Terminate,Terminate,Terminate,3.85,Unknown,Linear,1,1,2,True,False,True,False,True,33,C,loop,,False,False,False
Nyala-2lex_true-termination.c,Unknown,Unknown,Terminate,0.38,Terminate,4.262490988,Terminate,3.03,Terminate,3.43,Terminate,1.49,Nonterminate,1.23,Terminate,Terminate,Terminate,Terminate,Terminate,4.21,Terminate,Linear,1,1,1,True,False,True,False,False,26,C,loop,,False,True,True
960521-1_1_true-valid-memsafety.c,failed,Failed,Terminate,2.43,Nonterminate,69.01438475,Unknown,6.0,Unknown,6.07,Unknown,2.61,Terminate,12.33,Unknown,Terminate,Unknown,Failed,Terminate,4.92,Unknown,Nested,3,2,3,False,False,True,True,True,645,C,loop,,False,False,False
AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c,failed,Failed,Unknown,0.3,Terminate,3.205206871,TIMEOUT,300.04,Unknown,274.98,Failed,307.34,Unknown,150.43,Terminate,Terminate,Terminate,Terminate,Terminate,4.77,Failed,Nested,2,2,2,False,False,True,False,True,33,C,loop,,False,False,False
svcomp_c.02-alloca.c,failed,Failed,Failed,0.24,Failed,0.346795082,Unknown,3.62,Unknown,3.65,Unknown,2.17,Unknown,287.7,Terminate,timeout,Terminate,Terminate,TIMEOUT,300.01,Unknown,Nested,2,2,2,False,False,True,False,True,27,C,loop,,False,False,False
ChenFlurMukhopadhyay-SAS2012-Ex2.20_true-termination.c,failed,Failed,Terminate,0.26,Terminate,1.950015068,Terminate,2.94,Terminate,3.4,Terminate,1.44,Terminate,1.5,Terminate,Terminate,Terminate,Terminate,Terminate,3.72,Terminate,Linear,1,1,2,True,False,True,False,False,31,C,loop,,False,True,True
svcomp_diff_alloca.c,failed,Failed,Failed,0.25,Failed,0.344698906,Unknown,4.07,Unknown,4.16,Unknown,2.2,Unknown,267.19,Unknown,MAYBE,timeout,Terminate,Terminate,5.46,Unknown,Nested,2,2,5,False,False,True,True,True,45,C,loop,,False,False,False
svcomp_bubblesort_alloca.c,failed,Failed,Failed,0.19,Failed,0.47028923,Unknown,3.98,Unknown,4.37,Unknown,1.97,Unknown,265.57,Unknown,MAYBE,timeout,Terminate,Terminate,5.56,Unknown,Nested,2,2,2,False,False,True,True,True,28,C,loop,,False,False,False
