file,SVMRresult,svmr_statuses,result_2ls,2ls_time,irank_result,irank_time,cpalasso25_result,cpalasso25_time,cpageneral25_result,cpageneral25_time,cpalasso260122result,cpalasso260122time,cpageneral260122result,cpageneral260122time,AProVEonline24,Ultimate-online,AProVEonline25,MuVal-online,Ultimate260122_result,Ultimate260122_time_taken,ET+CPAlasso25,loop_type,loops_count,loops_depth,loop_condition_variables_count,has_break,loop_condition_always_true,initial_sat_condition,array_operator,pointer_operator,lines,language,program_type,recur_type
Overflow.c,Unknown,Unknown,Unknown,0.07,Terminate,0.819419384,Terminate,2.14,Terminate,2.56,Terminate,1.53,Terminate,1.65,Terminate,Terminate,Terminate,Terminate,Terminate,3.75,Terminate,Linear,1,1,1,False,False,True,False,False,14,C,loop,
ChenFlurMukhopadhyay-SAS2012-Ex2.13_true-termination.c,Terminate,TERMINATE,Unknown,0.69,Terminate,1.787369728,Unknown,4.39,Unknown,5.61,Unknown,1.95,Unknown,272.34,Terminate,Terminate,Terminate,Terminate,Terminate,3.77,Terminate,Linear,1,1,2,False,False,True,False,False,28,C,loop,
svcomp_b.18-alloca.c,Unknown,"TERMINATE,UNKNOWN",Failed,0.25,Failed,0.470837831,Unknown,2.81,Unknown,3.93,Unknown,2.12,Unknown,261.35,Terminate,Terminate,Terminate,timeout,Terminate,5.73,Unknown,Nested,3,2,2,False,False,True,False,True,27,C,loop,
PastaB3.c,Unknown,Unknown,Unknown,0.24,Terminate,1.462812185,Unknown,2.77,Unknown,3.01,Unknown,1.44,Unknown,297.35,Terminate,Terminate,Terminate,Terminate,Terminate,3.77,Unknown,Linear,1,1,2,False,False,True,False,False,18,C,loop,
GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c,Unknown,Unknown,Unknown,1.0,Terminate,17.41599131,Terminate,9.28,Terminate,9.65,Terminate,4.04,Terminate,4.27,timeout,Terminate,Terminate,Terminate,TIMEOUT,300.01,Terminate,Linear,1,1,3,False,False,True,False,True,34,C,loop,
HeizmannHoenickeLeikePodelski-ATVA2013-Fig2_true-termination.c,Unknown,Unknown,Unknown,8.09,Nonterminate,4.00972414,Terminate,9.49,Terminate,61.39,Terminate,5.94,Terminate,6.06,Terminate,Unknown,MAYBE,Terminate,Unknown,4.95,Terminate,Linear,1,1,1,False,False,True,False,True,19,C,loop,
svcomp_openbsd_cstrcmp_alloca.c,failed,Failed,Failed,0.19,Failed,0.474326372,Unknown,2.61,Unknown,2.67,Unknown,1.69,Unknown,266.63,Terminate,Unknown,Terminate,timeout,Unknown,10.65,Unknown,Linear,1,1,2,False,False,True,True,True,37,C,loop,
svcomp_java_Continue1-alloca.c,Unknown,Unknown,Failed,0.25,Failed,0.348927021,Unknown,2.55,Unknown,2.3,Unknown,1.32,Unknown,296.98,Terminate,Terminate,Terminate,Terminate,Terminate,5.91,Unknown,Linear,1,1,1,False,False,True,False,True,15,C,loop,
LeikeHeizmann-TACAS2014-Fig1_true-termination.c,failed,Failed,Unknown,0.98,Terminate,1.62724638,Terminate,3.39,Terminate,4.42,Terminate,1.65,Terminate,1.80,Terminate,Terminate,Terminate,Terminate,Terminate,3.86,Terminate,Linear,1,1,1,False,False,True,False,False,22,C,loop,
svcomp_a.04.c,Terminate,TERMINATE,Terminate,0.2,Terminate,1.510835886,Terminate,2.97,Terminate,3.62,Terminate,1.43,Terminate,1.58,Terminate,Terminate,Terminate,Terminate,Terminate,3.77,Terminate,Linear,1,1,2,False,False,True,False,False,15,C,loop,
svcomp_HarrisLalNoriRajamani-2010SAS-Fig3_true-alloca.c,Unknown,Unknown,Failed,0.24,Failed,0.47329092,Unknown,2.74,Unknown,2.97,Unknown,1.54,Unknown,285.91,Terminate,Terminate,Terminate,Terminate,Terminate,3.93,Unknown,Linear,1,1,1,False,False,True,False,True,23,C,loop,
svcomp_java_AG313-alloca.c,Terminate,TERMINATE,Failed,0.24,Failed,0.345540762,Unknown,4.34,Unknown,4.29,Unknown,2.38,Unknown,288.07,Terminate,Terminate,Terminate,Terminate,Terminate,4.25,Terminate,Linear,1,1,1,False,False,True,False,True,23,C,loop,
AliasDarteFeautrierGonnord-SAS2010-loops_true-termination.c,failed,Failed,Unknown,0.2,Terminate,2.413120031,Terminate,3.59,Terminate,4.37,Terminate,1.72,Terminate,2.12,Terminate,Terminate,Terminate,Terminate,Terminate,4.75,Terminate,Nested,2,2,2,False,False,True,False,True,30,C,loop,
AliasDarteFeautrierGonnord-SAS2010-ndecr_true-termination.c,Unknown,Unknown,Terminate,0.11,Terminate,0.882511854,Terminate,2.83,Terminate,3.3,Terminate,1.46,Terminate,1.47,Terminate,Terminate,Terminate,Terminate,Terminate,3.68,Terminate,Linear,1,1,1,False,False,True,False,False,17,C,loop,
svcomp_flag-alloca.c,Terminate,TERMINATE,Failed,0.23,Failed,0.34813118,Unknown,3.92,Unknown,4.09,Unknown,2.87,Unknown,288.50,Terminate,Terminate,Terminate,Terminate,Terminate,6.25,Terminate,Linear,1,1,1,False,False,True,False,True,24,C,loop,
